0 , 30.8148, 44 , 22
0 , 29.3653, 114 , 27
2 , 28.5531, 213 , 41
4 , 23.6283, 253 , 47
9 , 20.8281, 629 , 81
12 , 20.1203, 861 , 100
13 , 16.1723, 883 , 104
26 , 14.9693, 2839 , 178
84 , 14.9596, 9197 , 437
125 , 14.3261, 13053 , 592
245 , 14.3252, 24424 , 961
915 , 13.7527, 60194 , 2265
2375 , 13.0953, 120119 , 3899
3007 , 12.7805, 148732 , 4442
4025 , 12.532, 201857 , 5183
5184 , 12.2558, 261896 , 5905
5804 , 11.7592, 295858 , 6254
6578 , 11.7314, 366200 , 6647
35786 , 11.6151, 1693287 , 14471
