0 , 16.5571, 91 , 6 , 0
96 , 14.6494, 269 , 26 , 59
397 , 14.3887, 642 , 74 , 185
413 , 13.6498, 653 , 76 , 189
424 , 13.2936, 675 , 78 , 194
433 , 12.3785, 691 , 80 , 201
510 , 10.0361, 746 , 89 , 219
639 , 9.80769, 831 , 108 , 256
672 , 9.7523, 847 , 112 , 263
857 , 8.96855, 1026 , 140 , 320
1349 , 8.87238, 1428 , 210 , 458
1383 , 8.73316, 1482 , 218 , 473
1683 , 7.00553, 1811 , 278 , 592
5589 , 6.80372, 4023 , 623 , 1224
5756 , 6.31747, 4050 , 630 , 1232
5976 , 6.03764, 4163 , 636 , 1257
8317 , 5.73377, 5023 , 740 , 1427
19007 , 5.69143, 9838 , 1266 , 2330
90646 , 5.2137, 26417 , 3198 , 5484
